iter	Passed	Remaining
0	69	139513
1	143	143274
2	212	141599
3	287	143344
4	381	152236
5	450	149561
6	514	146423
7	586	146057
8	653	144605
9	723	143885
10	779	140906
11	840	139212
12	902	138012
13	963	136723
14	1022	135365
15	1086	134768
16	1167	136212
17	1235	136001
18	1295	135061
19	1360	134650
20	1416	133449
21	1476	132780
22	1536	132087
23	1608	132447
24	1684	133106
25	1745	132554
26	1802	131714
27	1867	131508
28	1924	130787
29	2000	131347
30	2075	131855
31	2130	131014
32	2189	130528
33	2247	129938
34	2306	129489
35	2365	129040
36	2419	128346
37	2483	128205
38	2548	128119
39	2605	127686
40	2661	127149
41	2718	126750
42	2780	126560
43	2834	126004
44	2903	126121
45	2966	125998
46	3026	125758
47	3081	125306
48	3137	124938
49	3198	124740
50	3252	124292
51	3312	124078
52	3378	124110
53	3433	123722
54	3482	123138
55	3542	122965
56	3600	122745
57	3660	122549
58	3715	122225
59	3775	122063
60	3829	121737
61	3892	121686
62	3958	121700
63	4016	121500
64	4077	121372
65	4136	121199
66	4195	121051
67	4265	121177
68	4341	121502
69	4419	121865
70	4500	122263
71	4577	122571
72	4646	122663
73	4722	122922
74	4807	123386
75	4882	123615
76	4957	123817
77	5042	124255
78	5107	124191
79	5178	124288
80	5249	124359
81	5333	124762
82	5411	124984
83	5469	124748
84	5529	124577
85	5594	124509
86	5660	124473
87	5717	124217
88	5792	124373
89	5863	124443
90	5941	124633
91	6005	124547
92	6071	124500
93	6156	124823
94	6233	125002
95	6305	125053
96	6370	124986
97	6432	124839
98	6492	124673
99	6560	124641
100	6616	124403
101	6687	124437
102	6759	124501
103	6836	124630
104	6897	124485
105	6964	124442
106	7026	124302
107	7087	124155
108	7161	124248
109	7225	124145
110	7291	124084
111	7365	124169
112	7433	124135
113	7501	124106
114	7572	124127
115	7632	123969
116	7710	124085
117	7772	123969
118	7838	123895
119	7899	123759
120	7961	123639
121	8027	123568
122	8086	123405
123	8158	123429
124	8226	123403
125	8299	123438
126	8364	123355
127	8429	123274
128	8506	123371
129	8572	123312
130	8674	123764
131	8745	123768
132	8810	123683
133	8876	123604
134	8950	123642
135	9033	123817
136	9107	123849
137	9189	123991
138	9258	123950
139	9329	123947
140	9405	124004
141	9469	123908
142	9536	123842
143	9605	123803
144	9674	123770
145	9736	123641
146	9806	123613
147	9876	123593
148	9937	123449
149	10006	123411
150	10068	123286
151	10128	123141
152	10200	123133
153	10268	123092
154	10338	123064
155	10412	123077
156	10483	123059
157	10544	122935
158	10612	122883
159	10675	122773
160	10749	122788
161	10822	122783
162	10888	122718
163	10960	122707
164	11014	122490
165	11070	122307
166	11124	122106
167	11178	121901
168	11236	121736
169	11292	121564
170	11350	121405
171	11409	121258
172	11464	121071
173	11518	120881
174	11573	120691
175	11623	120457
176	11680	120299
177	11732	120089
178	11786	119903
179	11846	119780
180	11889	119490
181	11932	119192
182	11998	119131
183	12061	119046
184	12117	118882
185	12176	118756
186	12232	118599
187	12279	118350
188	12320	118055
189	12376	117901
190	12426	117694
191	12480	117520
192	12530	117322
193	12588	117188
194	12639	116999
195	12696	116857
196	12718	116406
197	12776	116282
198	12829	116111
199	12887	115987
200	12944	115855
201	12999	115711
202	13056	115576
203	13111	115431
204	13165	115274
205	13224	115164
206	13274	114983
